Designator,Comment,Mid X(mm),Mid Y(mm),Rotation,Layer
D139,GE-3030WXXX-Q1B2D0-4,351.5,428.89,0,Top
D140,GE-3030WXXX-Q1B2D0-4,351.5,480.0,0,Top
D141,GE-3030WXXX-Q1B2D0-4,377.0,20.0,0,Top
D142,GE-3030WXXX-Q1B2D0-4,377.0,71.11,0,Top
D143,GE-3030WXXX-Q1B2D0-4,377.0,122.22,0,Top
D144,GE-3030WXXX-Q1B2D0-4,377.0,173.33,0,Top
D145,GE-3030WXXX-Q1B2D0-4,377.0,224.44,0,Top
D146,GE-3030WXXX-Q1B2D0-4,377.0,275.56,0,Top
D147,GE-3030WXXX-Q1B2D0-4,377.0,326.67,0,Top
D148,GE-3030WXXX-Q1B2D0-4,377.0,377.78,0,Top
D149,GE-3030WXXX-Q1B2D0-4,377.0,428.89,0,Top
D150,GE-3030WXXX-Q1B2D0-4,377.0,480.0,0,Top
D151,GE-3030WXXX-Q1B2D0-4,402.5,20.0,0,Top
D152,GE-3030WXXX-Q1B2D0-4,402.5,71.11,0,Top
D153,GE-3030WXXX-Q1B2D0-4,402.5,122.22,0,Top
D154,GE-3030WXXX-Q1B2D0-4,402.5,173.33,0,Top
D155,GE-3030WXXX-Q1B2D0-4,402.5,224.44,0,Top
D156,GE-3030WXXX-Q1B2D0-4,402.5,275.56,0,Top
D157,GE-3030WXXX-Q1B2D0-4,402.5,326.67,0,Top
D158,GE-3030WXXX-Q1B2D0-4,402.5,377.78,0,Top
D159,GE-3030WXXX-Q1B2D0-4,402.5,428.89,0,Top
D160,GE-3030WXXX-Q1B2D0-4,402.5,480.0,0,Top
D161,GE-3030WXXX-Q1B2D0-4,428.0,20.0,0,Top
D162,GE-3030WXXX-Q1B2D0-4,428.0,71.11,0,Top
D163,GE-3030WXXX-Q1B2D0-4,428.0,122.22,0,Top
D164,GE-3030WXXX-Q1B2D0-4,428.0,173.33,0,Top
D165,GE-3030WXXX-Q1B2D0-4,428.0,224.44,0,Top
D166,GE-3030WXXX-Q1B2D0-4,428.0,275.56,0,Top
D167,GE-3030WXXX-Q1B2D0-4,428.0,326.67,0,Top
D168,GE-3030WXXX-Q1B2D0-4,428.0,377.78,0,Top
D169,GE-3030WXXX-Q1B2D0-4,428.0,428.89,0,Top
D170,GE-3030WXXX-Q1B2D0-4,428.0,480.0,0,Top
D171,GE-3030WXXX-Q1B2D0-4,453.5,20.0,0,Top
D172,GE-3030WXXX-Q1B2D0-4,453.5,71.11,0,Top
D173,GE-3030WXXX-Q1B2D0-4,453.5,122.22,0,Top
D174,GE-3030WXXX-Q1B2D0-4,453.5,173.33,0,Top
D175,GE-3030WXXX-Q1B2D0-4,453.5,224.44,0,Top
D176,GE-3030WXXX-Q1B2D0-4,453.5,275.56,0,Top
D177,GE-3030WXXX-Q1B2D0-4,453.5,326.67,0,Top
D178,GE-3030WXXX-Q1B2D0-4,453.5,377.78,0,Top
D179,GE-3030WXXX-Q1B2D0-4,453.5,428.89,0,Top
D180,GE-3030WXXX-Q1B2D0-4,453.5,480.0,0,Top
D181,GE-3030WXXX-Q1B2D0-4,479.0,20.0,0,Top
D182,GE-3030WXXX-Q1B2D0-4,479.0,71.11,0,Top
D183,GE-3030WXXX-Q1B2D0-4,479.0,122.22,0,Top
D184,GE-3030WXXX-Q1B2D0-4,479.0,173.33,0,Top
D185,GE-3030WXXX-Q1B2D0-4,479.0,224.44,0,Top
D186,GE-3030WXXX-Q1B2D0-4,479.0,275.56,0,Top
D187,GE-3030WXXX-Q1B2D0-4,479.0,326.67,0,Top
D188,GE-3030WXXX-Q1B2D0-4,479.0,377.78,0,Top
D189,GE-3030WXXX-Q1B2D0-4,479.0,428.89,0,Top
D190,GE-3030WXXX-Q1B2D0-4,479.0,480.0,0,Top
D191,GE-3030WXXX-Q1B2D0-4,504.5,20.0,0,Top
D192,GE-3030WXXX-Q1B2D0-4,504.5,71.11,0,Top
D193,GE-3030WXXX-Q1B2D0-4,504.5,122.22,0,Top
D194,GE-3030WXXX-Q1B2D0-4,504.5,173.33,0,Top
D195,GE-3030WXXX-Q1B2D0-4,504.5,224.44,0,Top
D196,GE-3030WXXX-Q1B2D0-4,504.5,275.56,0,Top
D197,GE-3030WXXX-Q1B2D0-4,504.5,326.67,0,Top
D198,GE-3030WXXX-Q1B2D0-4,504.5,377.78,0,Top
D199,GE-3030WXXX-Q1B2D0-4,504.5,428.89,0,Top
D200,GE-3030WXXX-Q1B2D0-4,504.5,480.0,0,Top
D201,GE-3030WXXX-Q1B2D0-4,530.0,20.0,0,Top
D202,GE-3030WXXX-Q1B2D0-4,530.0,71.11,0,Top
D203,GE-3030WXXX-Q1B2D0-4,530.0,122.22,0,Top
D204,GE-3030WXXX-Q1B2D0-4,530.0,173.33,0,Top
D205,GE-3030WXXX-Q1B2D0-4,530.0,224.44,0,Top
D206,GE-3030WXXX-Q1B2D0-4,530.0,275.56,0,Top
D207,GE-3030WXXX-Q1B2D0-4,530.0,326.67,0,Top
D208,GE-3030WXXX-Q1B2D0-4,530.0,377.78,0,Top
D209,GE-3030WXXX-Q1B2D0-4,530.0,428.89,0,Top
