ref,x_mm,y_mm,rotation_deg,package,logical_channel,physical_output,channel_short,part_number
D165,428.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D166,428.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D167,428.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D168,428.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D169,428.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D170,428.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D171,453.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D172,453.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D173,453.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D174,453.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D175,453.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D176,453.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D177,453.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D178,453.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D179,453.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D180,453.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D181,479.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D182,479.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D183,479.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D184,479.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D185,479.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D186,479.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D187,479.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D188,479.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D189,479.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D190,479.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D191,504.5,20.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D192,504.5,71.11,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D193,504.5,122.22,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D194,504.5,173.33,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D195,504.5,224.44,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D196,504.5,275.56,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D197,504.5,326.67,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D198,504.5,377.78,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D199,504.5,428.89,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D200,504.5,480.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D201,530.0,20.0,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D202,530.0,71.11,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D203,530.0,122.22,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D204,530.0,173.33,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D205,530.0,224.44,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D206,530.0,275.56,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D207,530.0,326.67,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D208,530.0,377.78,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D209,530.0,428.89,0,3030,Main White,CH1A,MWA,GE-3030WXXX-Q1B2D0-4
D210,530.0,480.0,0,3030,Main White,CH1B,MWB,GE-3030WXXX-Q1B2D0-4
D211,40,35,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D212,130,35,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D213,220,35,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D214,310,35,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D215,400,35,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D216,490,35,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D217,60,130,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D218,150,130,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D219,240,130,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D220,330,130,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D221,420,130,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D222,510,130,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D223,40,225,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D224,130,225,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D225,220,225,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D226,310,225,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D227,400,225,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D228,490,225,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
D229,60,320,0,3030,Warm White,CH2,WW,GC-3030WXXX-J2B2D0-4
