RefDes,X_mm,Y_mm,Channel,Package
D169,200.0,263.529,Deep Red 660nm,LED3535_MCPCB
D170,230.0,263.529,Warm White,LED3535_MCPCB
D171,260.0,263.529,Main White,LED3535_MCPCB
D172,290.0,263.529,Main White,LED3535_MCPCB
D173,320.0,263.529,Main White,LED3535_MCPCB
D174,350.0,263.529,Main White,LED3535_MCPCB
D175,380.0,263.529,Main White,LED3535_MCPCB
D176,410.0,263.529,Main White,LED3535_MCPCB
D177,440.0,263.529,Far Red 730nm,LED3535_MCPCB
D178,470.0,263.529,Deep Red 660nm,LED3535_MCPCB
D179,500.0,263.529,Warm White,LED3535_MCPCB
D180,530.0,263.529,Warm White,LED3535_MCPCB
D181,20.0,290.588,Main White,LED3535_MCPCB
D182,50.0,290.588,Main White,LED3535_MCPCB
D183,80.0,290.588,Main White,LED3535_MCPCB
D184,110.0,290.588,Main White,LED3535_MCPCB
D185,140.0,290.588,Main White,LED3535_MCPCB
D186,170.0,290.588,Main White,LED3535_MCPCB
D187,200.0,290.588,Deep Red 660nm,LED3535_MCPCB
D188,230.0,290.588,Blue 450nm,LED3535_MCPCB
D189,260.0,290.588,Warm White,LED3535_MCPCB
D190,290.0,290.588,Main White,LED3535_MCPCB
D191,320.0,290.588,Main White,LED3535_MCPCB
D192,350.0,290.588,Main White,LED3535_MCPCB
D193,380.0,290.588,Main White,LED3535_MCPCB
D194,410.0,290.588,Main White,LED3535_MCPCB
D195,440.0,290.588,Main White,LED3535_MCPCB
D196,470.0,290.588,Deep Red 660nm,LED3535_MCPCB
D197,500.0,290.588,Blue 450nm,LED3535_MCPCB
D198,530.0,290.588,Warm White,LED3535_MCPCB
D199,20.0,317.647,Main White,LED3535_MCPCB
D200,50.0,317.647,Main White,LED3535_MCPCB
D201,80.0,317.647,Main White,LED3535_MCPCB
D202,110.0,317.647,Main White,LED3535_MCPCB
D203,140.0,317.647,Main White,LED3535_MCPCB
D204,170.0,317.647,Main White,LED3535_MCPCB
D205,200.0,317.647,Far Red 730nm,LED3535_MCPCB
D206,230.0,317.647,Deep Red 660nm,LED3535_MCPCB
D207,260.0,317.647,Warm White,LED3535_MCPCB
D208,290.0,317.647,Main White,LED3535_MCPCB
D209,320.0,317.647,Main White,LED3535_MCPCB
D210,350.0,317.647,Main White,LED3535_MCPCB
D211,380.0,317.647,Main White,LED3535_MCPCB
D212,410.0,317.647,Main White,LED3535_MCPCB
D213,440.0,317.647,Main White,LED3535_MCPCB
D214,470.0,317.647,Far Red 730nm,LED3535_MCPCB
D215,500.0,317.647,Deep Red 660nm,LED3535_MCPCB
D216,530.0,317.647,Warm White,LED3535_MCPCB
D217,20.0,344.706,Warm White,LED3535_MCPCB
D218,50.0,344.706,Main White,LED3535_MCPCB
D219,80.0,344.706,Main White,LED3535_MCPCB
D220,110.0,344.706,Main White,LED3535_MCPCB
D221,140.0,344.706,Main White,LED3535_MCPCB
D222,170.0,344.706,Main White,LED3535_MCPCB
D223,200.0,344.706,Main White,LED3535_MCPCB
D224,230.0,344.706,Deep Red 660nm,LED3535_MCPCB
D225,260.0,344.706,Blue 450nm,LED3535_MCPCB
D226,290.0,344.706,Warm White,LED3535_MCPCB
D227,320.0,344.706,Main White,LED3535_MCPCB
D228,350.0,344.706,Main White,LED3535_MCPCB
D229,380.0,344.706,Main White,LED3535_MCPCB
D230,410.0,344.706,Main White,LED3535_MCPCB
D231,440.0,344.706,Main White,LED3535_MCPCB
D232,470.0,344.706,Main White,LED3535_MCPCB
D233,500.0,344.706,Deep Red 660nm,LED3535_MCPCB
D234,530.0,344.706,Blue 450nm,LED3535_MCPCB
D235,20.0,371.765,Warm White,LED3535_MCPCB
D236,50.0,371.765,Main White,LED3535_MCPCB
D237,80.0,371.765,Main White,LED3535_MCPCB
D238,110.0,371.765,Main White,LED3535_MCPCB
D239,140.0,371.765,Main White,LED3535_MCPCB
D240,170.0,371.765,Main White,LED3535_MCPCB
D241,200.0,371.765,Main White,LED3535_MCPCB
D242,230.0,371.765,Far Red 730nm,LED3535_MCPCB
D243,260.0,371.765,Deep Red 660nm,LED3535_MCPCB
D244,290.0,371.765,Warm White,LED3535_MCPCB
D245,320.0,371.765,Main White,LED3535_MCPCB
D246,350.0,371.765,Main White,LED3535_MCPCB
D247,380.0,371.765,Main White,LED3535_MCPCB
D248,410.0,371.765,Main White,LED3535_MCPCB
D249,440.0,371.765,Main White,LED3535_MCPCB
D250,470.0,371.765,Main White,LED3535_MCPCB
D251,500.0,371.765,Far Red 730nm,LED3535_MCPCB
D252,530.0,371.765,Deep Red 660nm,LED3535_MCPCB
D253,20.0,398.824,Blue 450nm,LED3535_MCPCB
D254,50.0,398.824,Warm White,LED3535_MCPCB
D255,80.0,398.824,Main White,LED3535_MCPCB
D256,110.0,398.824,Main White,LED3535_MCPCB
D257,140.0,398.824,Main White,LED3535_MCPCB
D258,170.0,398.824,Main White,LED3535_MCPCB
D259,200.0,398.824,Main White,LED3535_MCPCB
D260,230.0,398.824,Main White,LED3535_MCPCB
D261,260.0,398.824,Deep Red 660nm,LED3535_MCPCB
D262,290.0,398.824,Blue 450nm,LED3535_MCPCB
D263,320.0,398.824,Warm White,LED3535_MCPCB
D264,350.0,398.824,Main White,LED3535_MCPCB
D265,380.0,398.824,Main White,LED3535_MCPCB
D266,410.0,398.824,Main White,LED3535_MCPCB
D267,440.0,398.824,Main White,LED3535_MCPCB
D268,470.0,398.824,Main White,LED3535_MCPCB
D269,500.0,398.824,Main White,LED3535_MCPCB
D270,530.0,398.824,Deep Red 660nm,LED3535_MCPCB
D271,20.0,425.882,Blue 450nm,LED3535_MCPCB
D272,50.0,425.882,Warm White,LED3535_MCPCB
D273,80.0,425.882,Main White,LED3535_MCPCB
D274,110.0,425.882,Main White,LED3535_MCPCB
D275,140.0,425.882,Main White,LED3535_MCPCB
D276,170.0,425.882,Main White,LED3535_MCPCB
D277,200.0,425.882,Main White,LED3535_MCPCB
D278,230.0,425.882,Main White,LED3535_MCPCB
D279,260.0,425.882,Far Red 730nm,LED3535_MCPCB
D280,290.0,425.882,Deep Red 660nm,LED3535_MCPCB
D281,320.0,425.882,Warm White,LED3535_MCPCB
D282,350.0,425.882,Main White,LED3535_MCPCB
D283,380.0,425.882,Main White,LED3535_MCPCB
D284,410.0,425.882,Main White,LED3535_MCPCB
D285,440.0,425.882,Main White,LED3535_MCPCB
D286,470.0,425.882,Main White,LED3535_MCPCB
D287,500.0,425.882,Main White,LED3535_MCPCB
D288,530.0,425.882,Far Red 730nm,LED3535_MCPCB
D289,20.0,452.941,Deep Red 660nm,LED3535_MCPCB
D290,50.0,452.941,Blue 450nm,LED3535_MCPCB
D291,80.0,452.941,Warm White,LED3535_MCPCB
D292,110.0,452.941,Main White,LED3535_MCPCB
D293,140.0,452.941,Main White,LED3535_MCPCB
D294,170.0,452.941,Main White,LED3535_MCPCB
D295,200.0,452.941,Main White,LED3535_MCPCB
D296,230.0,452.941,Main White,LED3535_MCPCB
D297,260.0,452.941,Main White,LED3535_MCPCB
D298,290.0,452.941,Deep Red 660nm,LED3535_MCPCB
D299,320.0,452.941,Blue 450nm,LED3535_MCPCB
D300,350.0,452.941,Warm White,LED3535_MCPCB
D301,380.0,452.941,Main White,LED3535_MCPCB
D302,410.0,452.941,Main White,LED3535_MCPCB
D303,440.0,452.941,Main White,LED3535_MCPCB
D304,470.0,452.941,Main White,LED3535_MCPCB
D305,500.0,452.941,Main White,LED3535_MCPCB
D306,530.0,452.941,Main White,LED3535_MCPCB
D307,20.0,480.0,Deep Red 660nm,LED3535_MCPCB
D308,50.0,480.0,Blue 450nm,LED3535_MCPCB
D309,80.0,480.0,Warm White,LED3535_MCPCB
D310,110.0,480.0,Main White,LED3535_MCPCB
D311,140.0,480.0,Main White,LED3535_MCPCB
D312,170.0,480.0,Main White,LED3535_MCPCB
D313,200.0,480.0,Main White,LED3535_MCPCB
D314,230.0,480.0,Main White,LED3535_MCPCB
D315,260.0,480.0,Main White,LED3535_MCPCB
D316,290.0,480.0,Far Red 730nm,LED3535_MCPCB
D317,320.0,480.0,Deep Red 660nm,LED3535_MCPCB
D318,350.0,480.0,Warm White,LED3535_MCPCB
D319,380.0,480.0,Warm White,LED3535_MCPCB
D320,410.0,480.0,Main White,LED3535_MCPCB
D321,440.0,480.0,Main White,LED3535_MCPCB
D322,470.0,480.0,Main White,LED3535_MCPCB
D323,500.0,480.0,Main White,LED3535_MCPCB
D324,530.0,480.0,Main White,LED3535_MCPCB
